"Famyli"	"Fitogeography_origin"	"Genus_and_species"	"n_MF1"	"n_MF2"	"n_MF3"	"n_MF4"	"n_MF5"	"n_MF6"	"biomass_total_MF1 (Mg)"	"biomass_total_MF2(Mg)"	"biomass_total_MF3 (Mg)"	"biomass_total_MF4 (Mg)"	"biomass_total_MF5 (Mg)"	"biomass_total_MF6 (Mg)"
"118"	"Lauraceae"	"Trop"	"Cinnamomum sp.1"	0,00440585784139735	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"119"	"Lauraceae"	"Trop"	"Endlicheria paniculata"	0,0304704152053706	0,0146414239869181	NA	NA	0,0176265962984414	NA	2	2	NA	NA	1	NA
"120"	"Lauraceae"	"Trop"	"Nectandra angustifolia"	0,0741488025811319	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
"121"	"Lauraceae"	"Trop"	"Nectandra lanceolata"	NA	3,75937104479252	NA	NA	NA	NA	NA	5	NA	NA	NA	NA
"122"	"Lauraceae"	"Trop"	"Nectandra megapotamica"	NA	0,965805453197748	NA	NA	NA	NA	NA	8	NA	NA	NA	NA
"123"	"Lauraceae"	"Trop"	"Nectandra nitidula"	NA	NA	NA	NA	2,09173025783101	NA	NA	NA	NA	NA	23	NA
"124"	"Lauraceae"	"Trop"	"Nectandra oppositifolia"	NA	0,12870623084735	NA	NA	0,00914696314349386	NA	NA	1	NA	NA	1	NA
"125"	"Lauraceae"	"Trop"	"Ocotea bicolor"	0,125021736022153	0,972052440557724	0,355756980588153	0,0358297417796667	2,87532664839736	NA	1	6	9	3	23	NA
"126"	"Lauraceae"	"Trop"	"Ocotea brachybotra"	0,295555739125759	NA	NA	NA	NA	NA	18	NA	NA	NA	NA	NA
"127"	"Lauraceae"	"Trop"	"Ocotea corymbosa"	NA	1,19574680612739	NA	NA	1,78844020558034	NA	NA	9	NA	NA	21	NA
"128"	"Lauraceae"	"Trop"	"Ocotea diospyrifolia"	NA	5,334273997805	NA	NA	1,80133864845712	NA	NA	9	NA	NA	14	NA
"129"	"Lauraceae"	"Trop"	"Ocotea dispersa"	NA	NA	0,217116512367954	NA	0,318471986652113	NA	NA	NA	6	NA	11	NA
"130"	"Lauraceae"	"Trop"	"Ocotea glaziovii"	NA	NA	0,0422608234044503	0,0592700724497372	0,40051695169843	NA	NA	NA	2	8	6	NA
"131"	"Lauraceae"	"Trop"	"Ocotea indecora"	16,3268644148555	3,77323199358188	0,00685894667586081	NA	NA	NA	118	24	1	NA	NA	NA
"132"	"Lauraceae"	"Trop"	"Ocotea nutans"	10,9928034817233	NA	NA	NA	NA	NA	69	NA	NA	NA	NA	NA
"133"	"Lauraceae"	"Trop"	"Ocotea odorifera"	0,0302628865003061	NA	NA	NA	0,00567719932563718	NA	3	NA	NA	NA	1	NA
"134"	"Lauraceae"	"Trop"	"Ocotea prolifera"	NA	0,0812205011250133	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
"135"	"Lauraceae"	"Trop"	"Ocotea puberula"	18,1361921750163	NA	0,439924649086973	0,00437295090242248	NA	NA	42	NA	6	1	NA	NA
"136"	"Lauraceae"	"Trop"	"Ocotea pulchella"	NA	0,256724861416708	5,62063391097087	0,551626769157595	5,61142293790381	4,66425809059712	NA	1	72	18	79	140
"137"	"Lauraceae"	"Trop"	"Ocotea silvestris"	NA	0,607415789915679	NA	NA	0,190403629195675	NA	NA	6	NA	NA	4	NA
"138"	"Lauraceae"	"Trop"	"Ocotea sp."	0,998113630854928	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA
"139"	"Lauraceae"	"Trop"	"Ocotea teleiandra"	NA	0,890915604304362	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"140"	"Lauraceae"	"Trop"	"Persea alba"	NA	NA	0,555810718916499	NA	NA	NA	NA	NA	1	NA	NA	NA
"141"	"Lauraceae"	"Trop"	"Persea sp."	0,477558990814821	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
"142"	"Lauraceae"	"Trop"	"Persea willdenovii"	NA	2,41769307576077	0,45522834615279	NA	2,46891699349468	NA	NA	1	3	NA	5	NA
"143"	"Loganiaceae"	"Trop"	"Strichnos brasiliensis"	0,0355736250256377	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA
"144"	"Lythraceae"	"Trop"	"Lafoensia pacari"	NA	NA	NA	NA	8,31938529758903	NA	NA	NA	NA	NA	119	NA
"145"	"Malpighiaceae"	"Trop"	"Bunchosia pallescens"	0,351640589241328	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA
"146"	"Malvaceae"	"Trop"	"Ceiba speciosa"	NA	0,42179061376349	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"147"	"Malvaceae"	"Trop"	"Guazuma ulmifolia"	3,36477914449187	0,0348286833785889	NA	NA	NA	NA	203	1	NA	NA	NA	NA
"148"	"Malvaceae"	"Trop"	"Luehea divaricata"	7,8598832161002	15,009292540212	NA	NA	NA	NA	46	37	NA	NA	NA	NA
"149"	"Malvaceae"	"Trop"	"Pseudobombax grandiflorum"	NA	0,00487841614930155	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"150"	"Melastomataceae"	"Trop"	"Miconia budlejoides"	NA	NA	NA	NA	NA	0,134816944056964	NA	NA	NA	NA	NA	14
"151"	"Melastomataceae"	"Trop"	"Miconia cinerascens"	NA	NA	0,0651236372981801	0,704482342496398	NA	NA	NA	NA	6	40	NA	NA
"152"	"Melastomataceae"	"Trop"	"Miconia doriana"	NA	0,032413332126687	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"153"	"Melastomataceae"	"Trop"	"Miconia ligustroides"	NA	NA	NA	NA	1,25758785670729	NA	NA	NA	NA	NA	27	NA
"154"	"Melastomataceae"	"Trop"	"Miconia petropolitana"	NA	0,0247364968528726	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
"155"	"Melastomataceae"	"Trop"	"Miconia pusilliflora"	NA	0,00718132378266366	NA	NA	0,100704829748427	NA	NA	1	NA	NA	5	NA
"156"	"Melastomataceae"	"Trop"	"Miconia shepherdii"	NA	NA	NA	NA	0,114412945589665	NA	NA	NA	NA	NA	5	NA
"157"	"Melastomataceae"	"Trop"	"Miconia sp."	0,00695581621916653	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"158"	"Melastomataceae"	"Trop"	"Miconia tristis"	NA	0,00700598033258171	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"159"	"Meliaceae"	"Trop"	"Cabralea canjerana"	0,0447413726805298	0,653413579459494	NA	NA	0,0926764662347957	NA	6	17	NA	NA	2	NA
"160"	"Meliaceae"	"Trop"	"Cedrela fissilis"	12,3304435453757	2,79774124720819	NA	0,015612356068082	0,103489532930138	NA	20	5	NA	2	2	NA
"161"	"Meliaceae"	"Trop"	"Guarea macrophylla"	NA	0,0149918406131034	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"162"	"Meliaceae"	"Trop"	"Trichilia catigua"	NA	1,60176644229604	NA	NA	NA	NA	NA	50	NA	NA	NA	NA
"163"	"Meliaceae"	"Trop"	"Trichilia claussenii"	NA	1,00921345678069	NA	NA	NA	NA	NA	22	NA	NA	NA	NA
"164"	"Meliaceae"	"Trop"	"Trichilia elegans"	0,0336956788031053	0,135262100778935	NA	NA	NA	NA	3	7	NA	NA	NA	NA
"165"	"Meliaceae"	"Trop"	"Trichilia pallida"	NA	0,0221491529510822	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
"166"	"Monimiaceae"	"Trop"	"Mollinedia argyrogyna"	NA	0,0750447613795334	NA	NA	0,0244247817848065	NA	NA	2	NA	NA	2	NA
"167"	"Monimiaceae"	"Trop"	"Mollinedia elegans"	NA	0,379776212198732	NA	NA	NA	NA	NA	22	NA	NA	NA	NA
"168"	"Monimiaceae"	"Trop"	"Mollinedia schottiana"	NA	0,00862385700343224	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"169"	"Moraceae"	"Trop"	"Ficus luschnathiana"	NA	0,187426148621536	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
"170"	"Moraceae"	"Trop"	"Ficus sp."	0,047378563165924	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"171"	"Moraceae"	"Trop"	"Sorocea bonplandii"	0,0223282642469083	9,17438508354996	NA	NA	0,342615632405757	NA	1	187	NA	NA	14	NA
"172"	"Myrtaceae"	"Trop"	"Blepharocalyx salicifolius"	NA	NA	NA	NA	0,359038413989788	NA	NA	NA	NA	NA	7	NA
"173"	"Myrtaceae"	"Trop"	"Campomanesia eugenioides"	NA	NA	NA	NA	0,0736303468768398	NA	NA	NA	NA	NA	2	NA
"174"	"Myrtaceae"	"Trop"	"Campomanesia guazumifolia"	NA	1,30448611218073	NA	NA	0,420410776470927	NA	NA	15	NA	NA	14	NA
