"id"	"scientific.name"	"accepted.name"	"family"	"taxon.rank"	"taxon.status"	"search.str"	"threat.status.cnc"	"threat.status.mma"	"threat.status.mma2022"	"notes"	"original.search"
"89"	100929	"Inga edwallii (Harms) T.D.Penn."	NA	"Fabaceae"	"species"	"accepted"	"Inga edwallii"	NA	NA	NA	"was misspelled"	"Inga edwalii"
"90"	23012	"Inga marginata Willd."	NA	"Fabaceae"	"species"	"accepted"	"Inga marginata"	NA	NA	NA	""	"Inga marginata"
"91"	83263	"Inga sessilis (Vell.) Mart."	NA	"Fabaceae"	"species"	"accepted"	"Inga sessilis"	NA	NA	NA	""	"Inga sessilis"
"92"	23029	"Inga striata Benth."	NA	"Fabaceae"	"species"	"accepted"	"Inga striata"	NA	NA	NA	""	"Inga striata"
"93"	31038	"Leucochloron incuriale (Vell.) Barneby & J.W.Grimes"	NA	"Fabaceae"	"species"	"accepted"	"Leucochloron incuriale"	NA	NA	NA	""	"Leucochloron incuriale"
"94"	134213	"Muellera campestris (Mart. ex Benth.) M.J. Silva & A.M.G. Azevedo"	NA	"Fabaceae"	"species"	"accepted"	"Muellera campestris"	NA	NA	NA	"replaced synonym"	"Lonchocarpus campestris"
"95"	23052	"Lonchocarpus cultratus (Vell.) A.M.G.Azevedo & H.C.Lima"	NA	"Fabaceae"	"species"	"accepted"	"Lonchocarpus cultratus"	NA	NA	NA	""	"Lonchocarpus cultratus"
"96"	29764	"Machaerium brasiliense Vogel"	NA	"Fabaceae"	"species"	"accepted"	"Machaerium brasiliense"	NA	NA	NA	""	"Machaerium brasiliense"
"97"	101144	"Machaerium hatschbachii Rudd"	NA	"Fabaceae"	"species"	"accepted"	"Machaerium hatschbachii"	NA	NA	NA	""	"Machaerium hatschbachii"
"98"	29774	"Machaerium nyctitans (Vell.) Benth."	NA	"Fabaceae"	"species"	"accepted"	"Machaerium nyctitans"	"LC"	NA	NA	""	"Machaerium nyctitans"
"99"	29778	"Machaerium paraguariense Hassl."	NA	"Fabaceae"	"species"	"accepted"	"Machaerium paraguariense"	"LC"	NA	NA	""	"Machaerium paraguariense"
"100"	29780	"Machaerium scleroxylon Tul."	NA	"Fabaceae"	"species"	"accepted"	"Machaerium scleroxylon"	NA	NA	NA	""	"Machaerium scleroxylon"
"101"	23055	"Machaerium Pers."	NA	"Fabaceae"	"genus"	"accepted"	"Machaerium sp."	NA	NA	NA	""	"Machaerium sp."
"102"	29781	"Machaerium stipitatum Vogel"	NA	"Fabaceae"	"species"	"accepted"	"Machaerium stipitatum"	NA	NA	NA	""	"Machaerium stipitatum"
"103"	29784	"Machaerium villosum Vogel"	NA	"Fabaceae"	"species"	"accepted"	"Machaerium villosum"	"LC"	NA	NA	""	"Machaerium villosum"
"104"	100978	"Mimosa scabrella Benth."	NA	"Fabaceae"	"species"	"accepted"	"Mimosa scabrella"	NA	NA	NA	""	"Mimosa scabrella"
"105"	23102	"Ormosia Jacks."	NA	"Fabaceae"	"genus"	"accepted"	"Ormosia sp."	NA	NA	NA	""	"Ormosia sp."
"106"	31381	"Parapiptadenia rigida (Benth.) Brenan"	NA	"Fabaceae"	"species"	"accepted"	"Parapiptadenia rigida"	NA	NA	NA	""	"Parapiptadenia rigida"
"107"	31387	"Piptadenia gonoacantha (Mart.) J.F.Macbr."	NA	"Fabaceae"	"species"	"accepted"	"Piptadenia gonoacantha"	"LC"	NA	NA	""	"Piptadenia gonoacantha"
"108"	29821	"Poecilanthe parviflora Benth."	NA	"Fabaceae"	"species"	"accepted"	"Poecilanthe parviflora"	"LC"	NA	NA	""	"Poecilanthe parviflora"
"109"	28201	"Senna macranthera (DC. ex Collad.) H.S.Irwin & Barneby"	NA	"Fabaceae"	"species"	"accepted"	"Senna macranthera"	NA	NA	NA	""	"Senna macranthera"
"110"	23157	"Senna multijuga (Rich.) H.S.Irwin & Barneby"	NA	"Fabaceae"	"species"	"accepted"	"Senna multijuga"	NA	NA	NA	""	"Senna multijuga"
"111"	29883	"Swartzia acutifolia Vogel"	NA	"Fabaceae"	"species"	"accepted"	"Swartzia acutifolia"	"LC"	NA	NA	""	"Swartzia acutifolia"
"112"	23320	"Aegiphila integrifolia (Jacq.) Moldenke"	NA	"Lamiaceae"	"species"	"accepted"	"Aegiphila integrifolia"	NA	NA	NA	""	"Aegiphila integrifolia"
"113"	8371	"Vitex polygama Cham."	NA	"Lamiaceae"	"species"	"accepted"	"Vitex polygama"	NA	NA	NA	""	"Vitex polygama"
"114"	607775	"Aiouea glaziovii (Mez) R.Rohde"	NA	"Lauraceae"	"species"	"accepted"	"Aiouea glaziovii"	NA	NA	NA	""	"Aiouea glaziovii"
"115"	605125	"Aiouea montana (Sw.) R.Rohde"	NA	"Lauraceae"	"species"	"accepted"	"Aiouea montana"	NA	NA	NA	""	"Aiouea montana"
"116"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"not found"	"Aiouea sellowianum"
"117"	619949	"Cinnamomum microneurum (Meisn.) Kosterm."	NA	"Lauraceae"	"species"	"accepted"	"Cinnamomum microneurum"	NA	NA	NA	""	"Cinnamomum microneurum"
"118"	8395	"Cinnamomum Schaeff."	NA	"Lauraceae"	"genus"	"accepted"	"Cinnamomum sp.1"	NA	NA	NA	""	"Cinnamomum sp.1"
"119"	8417	"Endlicheria paniculata (Spreng.) J.F.Macbr."	NA	"Lauraceae"	"species"	"accepted"	"Endlicheria paniculata"	NA	NA	NA	""	"Endlicheria paniculata"
"120"	104769	"Nectandra angustifolia (Schrad.) Nees & Mart."	NA	"Lauraceae"	"species"	"accepted"	"Nectandra angustifolia"	"LC"	NA	NA	""	"Nectandra angustifolia"
"121"	8429	"Nectandra lanceolata Nees"	NA	"Lauraceae"	"species"	"accepted"	"Nectandra lanceolata"	NA	NA	NA	""	"Nectandra lanceolata"
"122"	8431	"Nectandra megapotamica (Spreng.) Mez"	NA	"Lauraceae"	"species"	"accepted"	"Nectandra megapotamica"	NA	NA	NA	""	"Nectandra megapotamica"
"123"	8433	"Nectandra nitidula Nees & Mart."	NA	"Lauraceae"	"species"	"accepted"	"Nectandra nitidula"	NA	NA	NA	""	"Nectandra nitidula"
"124"	8434	"Nectandra oppositifolia Nees & Mart."	NA	"Lauraceae"	"species"	"accepted"	"Nectandra oppositifolia"	NA	NA	NA	""	"Nectandra oppositifolia"
"125"	17940	"Ocotea bicolor Vattimo-Gil"	NA	"Lauraceae"	"species"	"accepted"	"Ocotea bicolor"	"LC"	NA	NA	""	"Ocotea bicolor"
"126"	8447	"Ocotea brachybotrya (Meisn.) Mez"	NA	"Lauraceae"	"species"	"accepted"	"Ocotea brachybotrya"	NA	NA	NA	"was misspelled"	"Ocotea brachybotra"
"127"	8496	"Ocotea corymbosa (Meisn.) Mez"	NA	"Lauraceae"	"species"	"accepted"	"Ocotea corymbosa"	NA	NA	NA	""	"Ocotea corymbosa"
