"Famyli"	"Fitogeography_origin"	"Genus and species"	"n_MF1"	"n_MF2"	"n_MF3"	"n_MF4"	"n_MF5"	"n_MF6"	"biomass_total_MF1 (Mg)"	"biomass_total_MF2(Mg)"	"biomass_total_MF3 (Mg)"	"biomass_total_MF4 (Mg)"	"biomass_total_MF5 (Mg)"	"biomass_total_MF6 (Mg)"
"15"	"Lauraceae"	"Trop"	"Ocotea_puberula"	42	NA	6	1	NA	NA	18,1361921750163	NA	0,439924649086973	0,00437295090242248	NA	NA
"209"	"Lauraceae"	"Trop"	"Ocotea_pulchella"	NA	1	72	18	79	70	NA	0,256724861416708	5,62063391097087	0,551626769157595	5,61142293790381	2,33212904529856
"162"	"Lauraceae"	"Trop"	"Ocotea_silvestris"	NA	6	NA	NA	4	NA	NA	0,607415789915679	NA	NA	0,190403629195675	NA
"40"	"Lauraceae"	"Trop"	"Ocotea_sp."	9	NA	NA	NA	NA	NA	0,998113630854928	NA	NA	NA	NA	NA
"210"	"Lauraceae"	"Trop"	"Ocotea_teleiandra"	NA	1	NA	NA	NA	NA	NA	0,890915604304362	NA	NA	NA	NA
"265"	"Lauraceae"	"Trop"	"Persea_alba"	NA	NA	1	NA	NA	NA	NA	NA	0,555810718916499	NA	NA	NA
"280"	"Lauraceae"	"Trop"	"Persea_microneura"	NA	NA	NA	2	NA	NA	NA	NA	NA	0,0214040872413154	NA	NA
"87"	"Lauraceae"	"Trop"	"Persea_sp."	2	NA	NA	NA	NA	NA	0,477558990814821	NA	NA	NA	NA	NA
"211"	"Lauraceae"	"Trop"	"Persea_willdenovii"	NA	1	3	NA	5	NA	NA	2,41769307576077	0,45522834615279	NA	2,46891699349468	NA
"200"	"Laxmaniaceae"	"Trop"	"Cordyline_terminalis"	NA	1	NA	NA	NA	NA	NA	0,0345940879301133	NA	NA	NA	NA
"74"	"Loganiaceae"	"Trop"	"Strichnos_brasiliensis"	3	NA	NA	NA	NA	NA	0,035897391231815	NA	NA	NA	NA	NA
"287"	"Lythraceae"	"Trop"	"Lafoensia_pacari"	NA	NA	NA	NA	119	NA	NA	NA	NA	NA	8,31938529758903	NA
"65"	"Malpighiaceae"	"Trop"	"Bunchosia_pallescens"	3	NA	NA	NA	NA	NA	0,351640589241328	NA	NA	NA	NA	NA
"197"	"Malvaceae"	"Trop"	"Ceiba_speciosa"	NA	1	NA	NA	NA	NA	NA	0,42179061376349	NA	NA	NA	NA
"1"	"Malvaceae"	"Trop"	"Guazuma_ulmifolia"	203	1	NA	NA	NA	NA	3,36477914449187	0,0348286833785889	NA	NA	NA	NA
"13"	"Malvaceae"	"Trop"	"Luehea_divaricata"	46	37	NA	NA	NA	NA	7,8598832161002	15,009292540212	NA	NA	NA	NA
"215"	"Malvaceae"	"Trop"	"Pseudobombax_grandiflorum"	NA	1	NA	NA	NA	NA	NA	0,00487841614930155	NA	NA	NA	NA
"338"	"Melastomataceae"	"Trop"	"Miconia_budlejoides"	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	0,0674084720284818
"242"	"Melastomataceae"	"Trop"	"Miconia_cinerascens"	NA	NA	6	40	NA	NA	NA	NA	0,0651236372981801	0,704482342496398	NA	NA
"202"	"Melastomataceae"	"Trop"	"Miconia_doriana"	NA	1	NA	NA	NA	NA	NA	0,032413332126687	NA	NA	NA	NA
"203"	"Melastomataceae"	"Trop"	"Miconia_hymenonervia"	NA	1	NA	NA	NA	NA	NA	0,00718132378266366	NA	NA	NA	NA
"291"	"Melastomataceae"	"Trop"	"Miconia_ligustroides"	NA	NA	NA	NA	27	NA	NA	NA	NA	NA	1,25758785670729	NA
"177"	"Melastomataceae"	"Trop"	"Miconia_petropolitana"	NA	3	NA	NA	NA	NA	NA	0,0247364968528726	NA	NA	NA	NA
"305"	"Melastomataceae"	"Trop"	"Miconia_pusiliflora"	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	0,0950427350136936	NA
"306"	"Melastomataceae"	"Trop"	"Miconia_shepherdii"	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	0,114412945589665	NA
"101"	"Melastomataceae"	"Trop"	"Miconia_sp."	1	NA	NA	NA	NA	NA	0,00695581621916653	NA	NA	NA	NA	NA
"204"	"Melastomataceae"	"Trop"	"Miconia_tristis"	NA	1	NA	NA	NA	NA	NA	0,00700598033258171	NA	NA	NA	NA
"51"	"Meliaceae"	"Trop"	"Cabralea_canjerana"	6	17	NA	NA	2	NA	0,0447413726805298	0,653413579459494	NA	NA	0,0926764662347957	NA
"25"	"Meliaceae"	"Trop"	"Cedrela_fissilis"	20	5	NA	2	2	NA	12,3304435453757	2,79774124720819	NA	0,015612356068082	0,103489532930138	NA
"201"	"Meliaceae"	"Trop"	"Guarea_macrophylla"	NA	1	NA	NA	NA	NA	NA	0,0149918406131034	NA	NA	NA	NA
"119"	"Meliaceae"	"Trop"	"Trichilia_catigua"	NA	50	NA	NA	NA	NA	NA	1,60176644229604	NA	NA	NA	NA
